id,ENG,HIN
10409,M E N A R D,म े न ा र ् ड
10410,M I T H R A _ W E T T I M U N Y,म ि थ ् र ा _ व े ट ् ट ी म ु न ी
10411,S H I N _ S H I N A K I _ B A B L A _ B O O,श ि न _ श ि न ा क ी _ ब ब ल ा _ ब ू
10412,C O R K E T T,क ॉ र ् क े ट
10413,R U T H E N I U M,र ू थ े न ि य म
10414,A M E R I C A N _ I N T E R N A T I O N A L _ B U I L D I N G,अ म े र ि क न _ इ ं ट र न े श न ल _ ब ि ल ् ड ि ं ग
10415,S A I F U N _ S E M I C O N D U C T O R S,स े फ ़ न _ स े म ी क ं ड क ् ट र ् स
10416,V A N,व न
10417,K A H F _ H O T I,क ा फ ़ _ ह ो ट ी
10418,S A J I L I,स ज ी ल ी
10419,Z A N D R A,ज़ ै ं ड ् र ा
10420,S H A W _ W A L L A C E,श ॉ _ व ै ल े स
10421,C H A N D R A N,च ं द ् र न
10422,P I R,प ी र
10423,A A N,आ न
10424,K O L K A T A,क ो ल क ा त ा
10425,R A K H I,र ा ख ी
10426,H I G H L A N D S,ह ा ई ल ै ं ड ् स
10427,N A R E N _ D A R,न र े न ् द र
10428,F O R T _ D E _ K O C K,फ ो र ् ट _ ड े _ क ॉ क
10429,K O S T A S _ F R O N T Z O S _ M U S E U M _ O F _ E P I R U S ' _ F O L K _ A R T,क ो स ् ट स _ फ ् र ं ट ज ़ ॉ स _ म ् य ु ज़ ि य म _ ऑ फ _ ए प ‍ ि र स _ फ ो क _ आ र ् ट
10430,C A S C A D A _ D E _ B A S S A S E A C H I,क ॅ स क ा ड ा _ ड े _ ब स ा स े च ी
10431,J U L I A _ C H I L D,ज ु ल ि य ा _ च ा इ ल ् ड
10432,C A L V E R T,क ै ल ् व र ् ट
10433,G A W A I Y A,ग व इ य ा
10434,C E N T R A L _ B A N K,स े ं ट ् र ल _ ब ै ं क
10435,M A ' M U N,म ै म ू न
10436,S Y L V A N A,स ि ल ् व े न ा
10437,C H O P R A,च ो प ड़ ा
10438,Q A M E E R,क म ी र
10439,M I N D Y,म ि ं ड ी
10440,J A W A N I _ D I W A N I,ज व ा न ी _ द ी व ा न ी
10441,T H E _ I N T E R N A T I O N A L _ A N D Y _ A W A R D S,द _ इ ं ट र न े श न ल _ ए ण ् ड ी _ अ व ा र ् ड ् ‍ स
10442,B H E E G I _ P A L K E N,भ ी ग ी _ प ल क े ं
10443,B A R S I _ T O W N,ब र स ी _ ट ा उ न
10444,"V I D Y A _ V A R D H A K A _ S A N G H A _ H I G H _ S C H O O L , _ B A N G A L O R E","व ि द ् य ा _ व र ् ध क _ स ं घ _ ह ा ई _ स ् क ू ल , _ ब ै ं ग ल ो र"
10445,S H R I M A Y I,श ् र ी म य ी
10446,S O M A K A N T A,स ो म क ा ं त ा
10447,A B D U L _ R A F E E,अ ब ् द ु ल _ र फ ी
10448,L A N K A A P A T I,ल ं क ा प त ि
10449,S A U _ D I N _ S A A S _ K E,स ौ _ द ि न _ स ा स _ क े
10450,J O G E E S H V A R,ज ो ग ी श ् व र
10451,M U ' A W I Y A H,म ु आ व ि य ा ह
10452,B H A V A L K A R,भ व ा ल क र
10453,F L O,फ ् ल ो
10454,A C C O M M O D A T I O N _ T I M E S,ए क ो म ो ड े श न _ ट ा इ म ् स
10455,P A R D E S I,प र द े स ी
10456,B E Q A S O O R,ब े क स ू र
10457,C O L L E G E _ G I R L,क ॉ ल े ज _ ग र ् ल
10458,D O U G I E _ B R O W N,ड ग _ ब ् र ा उ न
10459,C H A M P A W A T,च म ् प ा व त
10460,I C E L A N D,आ इ स ल ै ं ड
10461,S H R E E _ G A N E S H,श ् र ी _ ग ण े श
10462,S U L A L I T A,स ु ल ल ि त ा
10463,C O N S T E L L A T I O N _ E N E R G Y,क ॉ न ् स ट े ल े श न _ ए न र ् ज ी
10464,C H A H A L,च ह ल
10465,S H E I K H _ S A I D,श े ख _ स ई द
10466,A R G E N T I N A,अ र ् ज े न ् ट ी न ा
10467,K H A N D A N I,ख ा न द ा न ी
10468,S A V A G E,स ै व े ज
10469,M A Y U R,म य ू र
10470,G A C H H I P U R A,ग च ् च ी प ु र ा
10471,M A R K _ R I C H A R D S O N,म ा र ् क _ र ि च र ् ड स न
10472,F O R T _ P I T T,फ ो र ् ट _ प ि ट
10473,D I V Y E S H,द ि व ् य े श
10474,B E W A F A,ब े व फ ़ ा
10475,C A L A N T H A,क ै ल े ं थ ा
10476,B A S R A,ब स र ा
10477,T A R U N A,त र ु ण ा
10478,S A P T A K O T E S H W A R,स प ् त क ो ट ि श ् व र
10479,A A J _ K I _ T A Z A _ K H A B A R,आ ज _ क ी _ त ा ज़ ा _ ख ब र
10480,F A T E H A B A D _ J U N C T I O N,फ त े ह ा ब ा द _ ज ं क ् श न
10481,S H A A L E E N,श ा ल ी न
10482,R A A N I,र ा न ी
10483,B R U C E _ M E D A L,ब ् र ू स _ म े ड ल
10484,T H A N J A V U R,त ं ज ा व ु र
10485,A S H A _ J Y O T I,आ श ा _ ज ् य ो त ी
10486,R A A T _ A N D H E R I _ T H I,र ा त _ अ ं ध े र ी _ थ ी
10487,C H A K R A V A R T Y _ R A J A G O P A L A C H A R I,च क ् र व र ् त ी _ र ा ज ग ो प ा ल ा च ा र ी
10488,D U D H A N I,द ू ध ा न ी
10489,Z I A R R E,ज़ ि य ा र
10490,N A J D A H,न ज ् द ा
10491,M E L I N A,म े ल ि न ा
10492,Y O G R A J,य ो ग र ा ज
10493,K H A G A D I A,ख ग ड ि य ा
10494,P R I M O,प ् र ि म ो
10495,F O R T _ M I C H I L I M A C K I N A C,फ ो र ् ट _ म ि श ी ल ि म े क ी न ै क
10496,R A M _ L E E L A,र ा म _ ल ी ल ा
10497,L A N D L E R,ल ै ं ड र
10498,T O H A N A,ट ो ह ा ण ा
10499,S A N _ S A B A,स ै न _ स ा ब ा
10500,S E E M A A,स ी म ा
10501,A R I V A R A S U,अ र ि व र स ु
10502,Y A S H I M A,य श ि म ा
10503,C H I N D W A R A,छ ि न ् द व ा ड ा
10504,A P O O R V,अ प ू र ् व
10505,D E V A H U T I,द े व ा ह ु त ि
10506,A D I L A K S H M A N,आ द ि ल क ् ष ् म ण
10507,B E T T E R _ O N L I N E _ S O L U T I O N S,ब े ट र _ ऑ न ल ा इ न _ स ॉ ल ् य ू श ं स
10508,S E E M A,स ी म ा
10509,Z I Z I,ज़ ि ज़ ी
10510,P R A G U E _ R U Z Y N E,प ् र ग ् य ु _ र ू ज ़ ि न
10511,T A T A _ I N F O T E C H,ट ा ट ा _ इ ं फ ़ ो ट े क
10512,S H A H _ E _ I R A N,श ा ह _ ए _ ई र ा न
10513,D I V J O T,द ि व ज ो त
10514,A M B E K A R,आ ं ब े क र
10515,C H I N A _ T E C H F A I T H _ W I R E L E S S _ C O M M U N I C A T I O N _ T E C H N O L O G Y _ L I M I T E D,च ा इ न ा _ ट े क फ ़ े थ _ व ा य र ल े स _ क म ् य ु न ि क े श न _ ट े क ् न ो ल ॉ ज ी _ ल ि म ि ट े ड
10516,M A N _ K A _ A A N G A N,म न _ क ा _ आ ँ ग न
10517,P H A L K E,फ ा ल क े
10518,A N A N T,अ न ं त
10519,Y O L A N D A,य ो ल ा न ् ड ा
10520,K A L I B U N G A,क ा ल ी ब ं ग ा
10521,H O N E Y W E L L,ह न ी व े ल
10522,D I Z I,ड ि ज़ ी
10523,A L O U D P U R I,अ ल ौ द प ु र ी
10524,D E L H I _ P U B L I C _ S C H O O L _ I N D I R A P U R A M,ड े ल ् ह ी _ प ब ् ल ‍ ि क _ स ् क ू ल _ इ ं द ि र ा प ु र म
10525,G I Z I,ग ि ज़ ी
10526,Z A H R I N G E N,ज़ ह र ि ं ग न
10527,F R A N K L I N,फ ़ ् र ै ं क ल ि न
10528,F R A N K L I N,फ ् र े ं क ल ि न
10529,F R A N K L I N,फ ् र ै ं क ल ि न
10530,R O B E R T _ L A U G H L I N,र ॉ ब र ् ट _ ल ा फ ल ि न
10531,S U G A N D H I,स ु ग ं ध ि
10532,A N D Y _ W H I T T A L L,ए ण ् ड ी _ व ् ह ि ट ् ट ल
10533,O R D E R _ O F _ M A R I T I M E _ M E R I T,ऑ ड र _ ऑ फ _ म ै र ी ट ा इ म _ म े र ि ट
10534,T E M P E S T,ट े म ् प े स ् ट
10535,S A E E D A H,स ई द ा ह
10536,N A Z N E E N,न ा ज़ न ी ं
10537,N A N D _ K I S H O R E,न ं द _ क ि श ो र
10538,K A L I K A M B A L,क ा ल ी क म ् ब ा ल
10539,P R I X _ M E D I C I S,प ् र ि क ् स _ म े ड ि स ि स
10540,S T U A R T _ C A R L I S L E,स ् ट ु अ र ् ट _ क ा र ् ल ि स ् ल े
10541,M I S S I S S I P P I _ R I V E R,म ि स ि स ि प ी _ र ि व र
10542,M U H A M M A D,म ु ह म ् म द
10543,S U M A T I,स ु म त ि
10544,A D O L P H,ए ड ो ल ् फ
10545,S A N _ F R A N C I S C O _ O A K L A N D _ B A Y,स ै न _ फ ् र ा न ् स ि स ् क ो _ ऑ क ल ै ं ड _ ब े
10546,K E V I N _ A R N O T T,क े व ि न _ आ र न ॉ ट
10547,J E R R I C A,ज े र ि क ा
10548,B A N D O N E O N,ब ै ं ड ो न ि य न
10549,G L O R I A N N,ग ् ल ो र ि य न
10550,G R A F _ Z E P P E L I N,ग ् र े फ _ ज े प ल ि न
10551,G A L E N,ग ै ल न
10552,L U C K Y _ N U M B E R,ल क ी _ न ं ब र
10553,Z A P A T A,ज़ प ा ट ा
10554,A B B A A S,अ ब ् ब ा स
10555,S A M E E R,स म ी र
10556,L E I G H T O N,ल ी ग ट न
10557,A M A A N A T H,अ म ा न ा थ
10558,B A L B O A,ब ल ् ब ो आ
10559,S A M R A A T,स म ् र ा ट
10560,E K _ J A A N _ H A I _ H U M,ए क _ ज ा न _ ह ै ं _ ह म
10561,A K H R I _ B A D L A,आ ख ि र ी _ ब द ल ा
10562,R A J _ N A R T A K I,र ा ज _ न र ् त क ी
10563,A J E E B _ I T T E F A Q,अ ज ी ब _ इ त ् त ि फ ा क ़
10564,S R I K A K U L A M,श ् र ी क ा क ु ल म
10565,T A L H A _ J U B A I R,त ा ल ् ह ा _ ज ु ब ै र
10566,M A K H I J A N I,म ा ख ी ज ा न ी
10567,N E E L A B J A,न ी ल ा ब ् ज ा
10568,R A A J A M U N I,र ा ज म ु न ि
10569,M U H A R,म ु ह ा र
10570,S H A D,श ा द
10571,M I T T E N,म ि ट ् ट न
10572,B A D I _ M A A,ब ड़ ी _ म ा ँ
10573,H U K U M A C H A N _ D,ह ु क ु म च न ् द
10574,A B D U L _ Q A H H A R,अ ब ् द ु ल _ क ह ा र
10575,K I M B E R L Y _ C L A R K,क ि ं ब र ् ल ि _ क ् ल ा र ् क
10576,B A A L I G H,ब ा ल ि ग
10577,G A N E S H V A R,ग ण े श ् व र
10578,A D W A A K I,अ द ् ‍ व ा क ी
10579,A H A D,आ ह ड
10580,P I K I,प ि क ी
10581,P U K A R,प ु क ा र
10582,D H A D V A I W A L E,ध ड व ई व ा ल े
10583,B A D R U D I N,ब द ् र ु द ि न
10584,L A U R I E _ W I L L I A M S,ल ॉ र ी _ व ि ल ि य म ् स
10585,S H I N G _ M U N _ R E S E R V O I R,श ि ं ग _ म ु न _ र ि ज़ र व ा य र
10586,D I N G W A H I,द ि ं ग व ा ह ी
10587,S I A N,स ि आ न
10588,C H A N D R E S H,च ं द ् र े श
10589,M A B E L,म ब े ल
10590,A A D H I _ R A A T,आ ध ी _ र ा त
10591,A M I T I Y O T I,अ म ि त ि य ो त ि
10592,N A I _ U M A R _ K I _ N A I _ F A S A L,न ई _ उ म ् र _ क ी _ न ई _ फ स ल
10593,I Z U M I S A N O,इ ज ु म ि स ा न ो
10594,K U D R A T,क ु द र त
10595,H I M A L A Y _ K I _ B E T I,ह ि म ा ल य _ क ी _ ब े ट ी
10596,B E R H A M P U R,ब र ह म प ु र
10597,D R U M M O N D,ड ् र म ॉ न ् ड
10598,T Y S O N,ट ा य स न
10599,A L I B A B A _ M A R J I N A,अ ल ी ब ा ब ा _ म र ् ज ी न ा
10600,S U R A M A E E,स ु र म ई
10601,A N G A D A,अ ं ग द ा
10602,L O N D O N _ S T A N S T E D,ल ं द न _ स ् ट ै न स ् ट े ड
10603,R A S H T R I Y A _ C H E M,र ा ष ् ट ् र ी य _ क े म ि क ल ् स
10604,A B D U S _ S A A M I,अ ब ् द ु स _ स ा म ी
10605,V A C H A N,व च न
10606,D A H O D,द ा ह ो द
10607,I K R A M,इ क र ा म
10608,V I J A Y _ Y A D A V,व ि ज य _ य ा द व
10609,F A R O K H _ E N G I N E E R,फ ा र ो ख _ इ ं ज ी न ि य र
10610,I G A T E _ S O L U T I O N S,आ ई ग े ट _ स ॉ ल ् य ू श न
10611,C H A N N A P A T N A,च न ् न ा प ट न ा
10612,D A L A L,द ल ा ल
10613,B H A I R A V I,भ ै र व ी
10614,S I M R A N,स ि म र न
10615,M O A N,म ो न
10616,M A N J U R A L _ I S L A M,म ं ज ु र ल _ इ स ् ल ा म
10617,K A I R O S,क ै र ो स
10618,A R E E B,अ र ी ब
10619,W R A T T E N,र ै ट न
10620,B A R G A D I,ब र ग ा ड़ ी
10621,J E E V A N _ J Y O T I,ज ी व न _ ज ् य ो त ि
10622,I D A L I A,इ ड े ल ि य ा
10623,T O S H I B A,त ो श ि ब ा
10624,S A R A D A,स ा र द ा
10625,S A A D A T,स ा द ा त
10626,A N I T A,अ न ि त ा
10627,A N I T A,अ न ी त ा
10628,B A L C H A N D R A,ब ा ल च ं द ् र
10629,S L O W M A N,स ् ल ो म े न
10630,O M A R _ K H A I Y Y A M,ओ म र _ ख ै य ् य म
10631,T A L A B A N D I,त ा ल ा ब ं द ी
10632,A F R I C A,अ फ ़ ् र ी क ा
10633,A F R I C A,अ फ ् र ी क ा
10634,E T H I O P I A N,इ थ ि य ो प ि य न
10635,P U S H P A N J A L I,प ु ष ् प ा ं ज ल ि
10636,P U S H P A N J A L I,प ु ष ् प ा ं ज ल ी
10637,M I S S _ T O O F A N _ M A I L,म ि स _ त ू फ ा न _ म े ल
10638,H A D D O C K,ह ै ड ॉ क
10639,T E D D Y _ K E N E D Y,ट े ड ी _ क ॅ न े ड ी
10640,N A Y Y A R,न य ् य र
10641,U N I V E R S I T Y _ O F _ N E W C A S T L E,य ू न ि व र ् स ि ट ी _ ऑ फ _ न ् य ू क ै स ल
10642,B A A L A C H A N D R A,ब ा ल च ं द ् र
10643,W A V E R L Y,व े व र ल ू ी
10644,C H A N N A N I,च न ् न ा न ी
10645,S T U D S,स ् ट ड ् स
10646,A L V I N _ K A L L I C H A R R A N,ए ल ् व ि न _ क ा ल ी च र न
10647,R O C K E T _ T A R Z A N,र ॉ क े ट _ ट ा र ् ज़ न
10648,M A I N A A,म ै न ा
10649,B I D A D I,ब ि द ा द ी
10650,N I C K Y _ B O J E,न ि क ् क ी _ ब ो ज े
10651,S A R G U J A,स र ग ु ज ा
10652,K U T C H,क च ् छ
10653,S I L E A S,स ि ल ी स
10654,L A L _ K U N W A R,ल ा ल _ क ु ँ व र
10655,P A A N C H _ K H I L A D I,प ा ँ च _ ख ि ल ा ड ़ ी
10656,M A D D O C K,म ै ड ॉ क
10657,R A M _ R A J Y A,र ा म _ र ा ज ् य
10658,L A V A N Y A,ल ा ा व ण ् य ा
10659,S A N G R A M,स ं ग ् र ा म
10660,P Y A R I _ B E H N A,प ् य ा र ी _ ब ह न ा
10661,C Y B I L L E,स ा य ब ि ल
10662,S H A R M I L A,श र ् म ि ल ा
10663,A I T B A A R,ए त ब ा र
10664,G H A R _ G H A R _ M E I N _ D I W A L I,घ र _ घ र _ म े ं _ द ी व ा ल ी
10665,S I D D H E S H W A R I,स ि द ् ध े श ् व र ी
10666,R Y A N _ R A M D A S S,र ि य ा न _ र ा म द ा स
10667,S A H A N I,स ा ह न ी
10668,A T R E,अ त ् र े
10669,W I L F R E D,व ि ल ् फ ् र े ड
10670,K U L D E E P,क ु ल द ी प
10671,B O S T O N,ब ो स ् ट न
10672,D U D U K,ड ु द ु क
10673,M A R C E L _ B E N O I S T _ P R I Z E,म ा र ् स े ल _ ब े न ो इ स ् ट _ प ् र ा इ ज़
10674,E K _ N U M B E R _ K A _ C H O R,ए क _ न ं ब र _ क ा _ च ो र
10675,S H A Y,श े
10676,D A R T S,ड ा र ् ट ् स
10677,S A I _ B A B A _ O F _ S H I R D I,स ा ं ई _ ब ा ब ा _ ऑ फ _ श ि र ् ड ी
10678,I D A L E E,इ ड े ल ी
10679,A A G _ K E _ S H O L A Y,आ ग _ क े _ श ो ल े
10680,S A N D I A,स न ् ड ि आ
10681,P R E S I D I O _ O F _ S A N _ F R A N C I S C O,प ् र े स ि ड ि य ो _ ऑ फ _ स ै न _ फ ् र ा न ् स ि स ् क ो
10682,K H A W L A H,ख व ल ा ह
10683,D U N I Y A _ M E R I _ J E B _ M E I N,द ु न ि य ा _ म े र ी _ ज े ब _ म े ं
10684,U N I M A K,य ू न ि म क
10685,R A A K A,र ा क ा
10686,L A D K I _ S A H Y A D R I _ K I,ल ड़ क ी _ स ह ् य ा द ् र ी _ क ी
10687,D H O D H A R,ढ ़ ो ध र
10688,S Q U A R E _ D A N C E,स ् क ् व ा ए र _ ड ा ं स
10689,D H A R A P,ध ा र प
10690,F O R T _ B I J _ A S P E R E N,फ ो र ् ट _ ब ि ज _ ए स ् प े र े न
